"","ring","Pnum","year","sex","unique2","weight","tarsus","wing_l","age","date"
"1","BP78506","19731C118",1973,"M","19731C118_BP78506",20.6,NA,80,"5","03/04/1973"
"2","BP78513","19731C124",1973,"M","19731C124_BP78513",18.9,NA,76,"5","03/04/1973"
"3","BH18345","19731C63",1973,"M","19731C63_BH18345",18.8,NA,76,"6","03/04/1973"
"4","BP11821","19751B79",1975,"M","19751B79_BP11821",20.5,NA,79,"6","17/06/1975"
"5","NC11176","19811C125",1981,"M","19811C125_NC11176",17.4,NA,75,"5","14/06/1981"
"6","NE93388","19821P15",1982,"M","19821P15_NE93388",18.4,NA,76,"5","01/04/1982"
"7","NE93677","19861B18",1986,"M","19861B18_NE93677",19.2,NA,75.5,"6","16/04/1986"
"8","NN86624","19861P21",1986,"M","19861P21_NN86624",19.7,NA,NA,"5","03/04/1986"
"9","NN88466","19881B201",1988,"M","19881B201_NN88466",18.5,NA,76,"5","02/06/1988"
"10","VS84629","20031B108",2003,"M","20031B108_VS84629",17.4,NA,77,"6","29/05/2003"
"11","TA16048","20031B139",2003,"M","20031B139_TA16048",18.9,NA,77,"5","09/06/2003"
"12","VT33853","20031B147",2003,"M","20031B147_VT33853",18,NA,76,"5","01/06/2003"
"13","TA16398","20031B150",2003,"M","20031B150_TA16398",19.5,NA,76,"5","20/05/2003"
"14","VT34371","20031B156",2003,"M","20031B156_VT34371",19.9,NA,75.5,"6","15/05/2003"
"15","VT33441","20031B214",2003,"M","20031B214_VT33441",17.9,NA,74.5,"5","27/05/2003"
"16","VS83127","20031B223",2003,"M","20031B223_VS83127",17,NA,78,"6","29/05/2003"
"17","TA16488","20031B226",2003,"M","20031B226_TA16488",17.6,NA,76,"5","27/05/2003"
"18","TA16274","20031B25",2003,"M","20031B25_TA16274",19,NA,74,"5","02/06/2003"
"19","TA16544","20031B49",2003,"M","20031B49_TA16544",19.1,NA,75,"5","20/05/2003"
"20","TA16467","20031B53",2003,"M","20031B53_TA16467",18.4,NA,78,"5","05/06/2003"
"21","TA15522","20031B62A",2003,"M","20031B62A_TA15522",18.4,NA,77,"5","20/05/2003"
"22","TA16031","20031B69",2003,"M","20031B69_TA16031",17.4,NA,76,"5","21/05/2003"
"23","K578047","20031B78",2003,"M","20031B78_K578047",18.3,NA,79,"6","31/05/2003"
"24","TA16125","20031B99A",2003,"M","20031B99A_TA16125",18.6,NA,74,"5","06/06/2003"
"25","VN85433","20031C158",2003,"M","20031C158_VN85433",19.1,23,76,"6","12/05/2003"
"26","R639011","20031MP14",2003,"M","20031MP14_R639011",17.4,NA,75,"5","23/05/2003"
"27","VS84545","20031MP20",2003,"M","20031MP20_VS84545",18.8,NA,75,"6","21/05/2003"
"28","TA16103","20031MP24",2003,"M","20031MP24_TA16103",17.4,NA,74,"5","18/05/2003"
"29","TA16239","20031MP25",2003,"M","20031MP25_TA16239",18.6,NA,77,"5","25/05/2003"
"30","K578621","20031MP27",2003,"M","20031MP27_K578621",19.8,NA,78,"6","23/05/2003"
"31","TA16230","20031MP32",2003,"M","20031MP32_TA16230",19.1,NA,74,"5","23/05/2003"
"32","VS84537","20031MP34",2003,"M","20031MP34_VS84537",19.8,NA,78,"6","25/05/2003"
"33","K578622","20031MP35",2003,"M","20031MP35_K578622",18.3,NA,78.5,"6","15/05/2003"
"34","VX12166","20031MP37",2003,"M","20031MP37_VX12166",18.6,NA,77,"6","29/05/2003"
"35","K578616","20031MP41",2003,"M","20031MP41_K578616",18.9,NA,76,"6","23/05/2003"
"36","TA16164","20031MP42",2003,"M","20031MP42_TA16164",17.2,NA,75,"5","09/06/2003"
"37","TA16299","20031MP45",2003,"M","20031MP45_TA16299",18.6,NA,77,"5","18/05/2003"
"38","TA16067","20031MP46",2003,"M","20031MP46_TA16067",18.4,NA,75,"5","24/05/2003"
"39","TA16115","20031MP48",2003,"M","20031MP48_TA16115",18.2,NA,76,"5","16/05/2003"
"40","K604575","20031MP49",2003,"M","20031MP49_K604575",17.8,NA,78,"6","23/05/2003"
"41","R639001","20031MP51",2003,"M","20031MP51_R639001",17.7,NA,74,"6","16/05/2003"
"42","TA16234","20031MP52",2003,"M","20031MP52_TA16234",18.6,NA,75,"5","23/05/2003"
"43","TA15071","20031MP55",2003,"M","20031MP55_TA15071",18.8,NA,75,"5","30/05/2003"
"44","R639008","20031MP62",2003,"M","20031MP62_R639008",18.5,NA,77.5,"5","21/05/2003"
