Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20261B1,b,Emma Gray,false,g,6,true,24-05-2026,,,12-04-2026,12,0,5,1.00,true,0,30-04-2026,30-04-2026,30,12,4.79,3,7,6,6,44,15,6,0,6,19.13,6,1,pl91476,pf71700,"3b00192e50, 3b0049622e",,,,0,"I couldn't reach the nest, FON, warm, FON, hc1, FP, both ID'd",,,,,,,,,
20261B10,b,Emma Gray,false,g,6,true,22-05-2026,,,07-04-2026,7,0,10,1.00,true,0,28-04-2026,28-04-2026,28,13,6.59,4,9,9,4,42,15,4,2,4,15.25,4,1,pf71698,pf71143,"pf71143, 01103fbddd, 0700ee269b",,,,0,"FON, hc1, FON, hc2, FP both ID'd",,,,,,,,,
20261B100,b,Emma Gray,false,b,6,true,22-05-2026,,,07-04-2026,7,0,10,1.00,true,0,28-04-2026,29-04-2026,29,14,5.44,4,9,8,8,43,15,8,0,8,11.08,8,1,,,"3b004ca5b1, 3b004bd001",,,,0,"cold, FON, FON, hc1, FON, FP both ID'd",,,,,,,,,
20261B101,b,Emma Gray,false,b,6,true,27-05-2026,,,14-04-2026,14,0,6,1.00,true,0,04-05-2026,03-05-2026,33,12,4.33,4,8,8,8,47,15,8,0,8,11.36,8,1,atr9776,ajy4879,"3b004b8b1e, 3b0018fd68",,,,0,"warm, FON, hc1, FP, male ID'd",,,,,,,,,
20261B102,b,Emma Gray,false,,6,true,26-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20261B103,b,Emma Gray,false,b,6,true,15-05-2026,,,23-03-2026,-8,0,0,1.00,true,0,18-04-2026,21-04-2026,21,16,3.20,3,14,14,14,35,15,14,0,14,10.25,14,1,bzd4767,bzd2291,"3b004c5efe, 3b004c67c5",,,,0,"cold, warm, FON, warm, hatch#1, hatch check 2, hc3, FON, fp, both ID'd",,,,,,,,,
20261B104,b,Emma Gray,false,,6,true,26-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20261B105,b,Emma Gray,false,,6,true,26-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20261B106,b,Emma Gray,false,g,6,true,27-04-2026,,,07-04-2026,7,0,10,1.00,,0,,,,,6.27,4,7,,0,,,,0,0,,0,0,,,,,,,0,"cold, front plate found on ground at arrival, cold & fleas, cold, cold, nest of 7 cold eggs removed after 10 days with no incubation",,,,,,,,,
20261B107,b,Emma Gray,false,b,6,true,10-06-2026,,,02-04-2026,2,0,10,1.00,true,0,26-04-2026,29-04-2026,29,16,4.66,4,12,10,0,,,,0,0,,0,0,,,,,,,0,"FON, FON, hc2, FON, no ring, hc1, FON, hc3",,,,,,,,,
20261B108,b,Emma Gray,false,,6,true,26-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,I couldn't reach the nest,,,,,,,,,
20261B109,b,Emma Gray,false,b,6,true,30-05-2026,,,11-04-2026,11,0,6,1.00,true,0,04-05-2026,05-05-2026,35,14,4.06,4,11,11,11,49,15,11,4,7,9.37,11,2,bpl2003,bpl2004,"bpl2003, bpl2004",,"bzd6834, bzd6836, bzd6838, bzd6839",,0,"warm, FON, no ring, warm, hc1, hc2, FP, none ID'd, male caught (3b00194f52), female not caught, female caught (3b00191226)",,,,,,,,,
20261B11,b,Emma Gray,false,,6,true,27-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20261B110,b,Emma Gray,false,,6,true,27-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20261B111,b,Emma Gray,false,g,6,true,25-05-2026,,,13-04-2026,13,0,6,,true,0,30-04-2026,01-05-2026,31,14,6.06,4,5,5,5,45,15,5,2,3,15.26,5,1,pl91295,pf71141,"01103fcfc9, pf71141",,"py93869, py93872",,0,"FON, FON, hc1, FP, male ID'd, female",,,,,,,,,
20261B112,b,Emma Gray,false,,6,true,26-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20261B113,b,Emma Gray,false,,6,true,26-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20261B114,b,Emma Gray,false,,6,true,26-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20261B115,b,Emma Gray,false,,6,true,26-05-2026,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,"fleas, fleas",,,,,,,,,
