Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
N,BZD6517,BLUTI,5,F,07/01/2026  09:30:00,WYT,LOG 2C,,,,61.0,10.7,KMM,,,,,M,18.6,,,,,
N,BZD6518,BLUTI,5,M,07/01/2026  09:30:00,WYT,LOG 2C,,,,64.0,11.2,KMM,,,,,M,19.6,,,,,
N,BZD6519,BLUTI,5,F,07/01/2026  09:30:00,WYT,LOG 2C,,,,62.0,11.2,KMM,,,,,M,19.9,,,,,
N,BZD6520,BLUTI,5,M,07/01/2026  09:30:00,WYT,LOG 2C,,,,63.5,10.3,KMM,,,,,M,19.8,,,,,
N,BZD6521,BLUTI,5,F,07/01/2026  10:09:59,WYT,LOG 2C,,,,61.0,10.3,KMM,,,,,M,18.4,,,,,
N,BZD6522,BLUTI,5,F,07/01/2026  10:09:59,WYT,LOG 2C,,,,64.0,11.7,KMM,,,,,M,19.2,,,,,
N,BZD6523,BLUTI,5,F,07/01/2026  10:09:59,WYT,LOG 2C,,,,63.0,10.6,KMM,,,,,M,19.2,,,,,
N,BZD6524,BLUTI,5,M,07/01/2026  10:09:59,WYT,LOG 2C,,,,64.0,11.3,KMM,,,,,M,19.5,,,,,
N,BZD6525,BLUTI,5,M,07/01/2026  10:09:59,WYT,LOG 2C,,,,66.0,11.0,KMM,,,,,M,19.7,,,,,
N,BZD6526,COATI,5,,07/01/2026  10:09:59,WYT,LOG 2C,,,,60.0,8.7,KMM,,,,,,,,,,,
N,BZD6527,COATI,5,,07/01/2026  10:09:59,WYT,LOG 2C,,,,58.0,8.1,KMM,,,,,,,,,,,
N,BZD6528,BLUTI,5,M,07/01/2026  10:40:00,WYT,LOG 2C,,,,66.0,12.1,KMM,,,,,M,19.5,,,,,
N,BZD6529,BLUTI,5,F,07/01/2026  10:40:00,WYT,LOG 2C,,,,61.0,10.9,KMM,,,,,M,18.3,,,,,
N,BZD6530,BLUTI,5,F,07/01/2026  10:40:00,WYT,LOG 2C,,,,62.0,10.7,KMM,,,,,M,18.5,,,,,
N,BZD6531,BLUTI,5,M,07/01/2026  10:40:00,WYT,LOG 2C,,,,64.0,11.6,KMM,,,,,M,19.0,,,,,
N,BZD6532,MARTI,6,,07/01/2026  10:40:00,WYT,LOG 2C,,,,62.0,11.3,KMM,,,,,M,18.6,,,,,
N,BZD6533,BLUTI,5,F,07/01/2026  10:40:00,WYT,LOG 2C,,,,62.0,11.0,KMM,,,,,M,18.6,,,,,
N,BZD6534,BLUTI,5,M,07/01/2026  11:19:59,WYT,LOG 2C,,,,64.0,11.2,KMM,,,,,M,19.3,,,,,
