Name,Nestbox,Section,Number,Longitude,Latitude,Grid Ref
Nestbox B1, B1,b,1,-1.308809725,51.76481187,SP4779707574
Nestbox B10, B10,b,10,-1.309306062,51.76457202,SP4776307547
Nestbox B100, B100,b,100,-1.308591288,51.76488251,SP4781207582
Nestbox B101, B101,b,101,-1.308725397,51.76464054,SP4780307555
Nestbox B102, B102,b,102,-1.308453941,51.76438764,SP4782207527
Nestbox B103, B103,b,103,-1.30826971,51.76411637,SP4783507497
Nestbox B104, B104,b,104,-1.308223849,51.76370376,SP4783807451
Nestbox B105, B105,b,105,-1.308510734,51.76351538,SP4781907430
Nestbox B106, B106,b,106,-1.308774826,51.76330114,SP4780107406
Nestbox B107, B107,b,107,-1.309100942,51.76375109,SP4777807456
Nestbox B108, B108,b,108,-1.308661051,51.76410968,SP4780807496
Nestbox B109, B109,b,109,-1.308788844,51.76428126,SP4779907515
Nestbox B11, B11,b,11,-1.309505208,51.76481595,SP4774907574
Nestbox B110, B110,b,110,-1.3091438,51.76475988,SP4777407568
Nestbox B111, B111,b,111,-1.309487017,51.76505861,SP4775007601
Nestbox B112, B112,b,112,-1.309235075,51.76542577,SP4776707642
Nestbox B113, B113,b,113,-1.309665645,51.76569803,SP4773707672
Nestbox B114, B114,b,114,-1.308965346,51.76600861,SP4778507707
Nestbox B115, B115,b,115,-1.308648633,51.76587188,SP4780707692
Nestbox B116, B116,b,116,-1.307965425,51.76601172,SP4785407708
Nestbox B117, B117,b,117,-1.308046729,51.76638084,SP4784807749
Nestbox B118, B118,b,118,-1.307626664,51.76636938,SP4787707748
Nestbox B119, B119,b,119,-1.307029421,51.76657266,SP4791807771
Nestbox B12, B12,b,12,-1.309264223,51.76544329,SP4776507644
Nestbox B121, B121,b,121,-1.306229451,51.76676575,SP4797307793
Nestbox B122, B122,b,122,-1.307167439,51.76702303,SP4790807821
Nestbox B123, B123,b,123,-1.307846954,51.76712594,SP4786107832
Nestbox B124, B124,b,124,-1.308184483,51.76684919,SP4783807801
Nestbox B125, B125,b,125,-1.308361108,51.76667041,SP4782607781
Nestbox B126, B126,b,126,-1.308712982,51.76640274,SP4780207751
